INDICATOR_ID,COUNTRY_ID,YEAR,VALUE,MAGNITUDE,QUALIFIER,TYPE,METADATA,COUNTRY_NAME_EN,INDICATOR_LABEL_EN
ADMI.ENDOFLOWERSEC.MAT,TZA,2022,0.0,,,,,United Republic of Tanzania, Administration of a nationally-representative learning assessment at the end of lower secondary education in mathematics (number)
ADMI.ENDOFLOWERSEC.READ,TZA,2022,0.0,,,,,United Republic of Tanzania, Administration of a nationally-representative learning assessment at the end of lower secondary education in reading (number)
ADMI.ENDOFPRIM.MAT,TZA,2022,0.0,,,,,United Republic of Tanzania, Administration of a nationally-representative learning assessment at the end of primary in mathematics (number)
ADMI.ENDOFPRIM.READ,TZA,2022,0.0,,,,,United Republic of Tanzania, Administration of a nationally-representative learning assessment at the end of primary in reading (number)
ADMI.GRADE2OR3PRIM.MAT,TZA,2022,1.0,,,Source:Data sources,Standard Four National Assessment (SFNA) (2018); Standard Four National Assessment (SFNA) (2019); Standard Four National Assessment (SFNA) (2020); Standard Four National Assessment (SFNA) (2021),United Republic of Tanzania, Administration of a nationally representative learning assessment in Grade 2 or 3 in mathematics (number)
ADMI.GRADE2OR3PRIM.READ,TZA,2022,1.0,,,Source:Data sources,Standard Four National Assessment (SFNA) (2018); Standard Four National Assessment (SFNA) (2019); Standard Four National Assessment (SFNA) (2020); Standard Four National Assessment (SFNA) (2021),United Republic of Tanzania, Administration of a nationally representative learning assessment in Grade 2 or 3 in reading (number)
AIR.1.GLAST,TZA,2020,68.73860931396484,,,,,United Republic of Tanzania,"Gross intake ratio to the last grade of primary education, both sexes (%)"
AIR.1.GLAST.F,TZA,2020,72.00518798828125,,,,,United Republic of Tanzania,"Gross intake ratio to the last grade of primary education, female (%)"
AIR.1.GLAST.GPIA,TZA,2020,1.089769959449768,,,,,United Republic of Tanzania,"Gross intake ratio to the last grade of primary education, adjusted gender parity index (GPIA)"
AIR.1.GLAST.M,TZA,2020,65.54096984863281,,,,,United Republic of Tanzania,"Gross intake ratio to the last grade of primary education, male (%)"
